tmdb_id,release_date
19995,2009-12-15
24428,2012-04-25
12445,2011-07-12
38356,2011-06-28
122,2003-12-17
37724,2012-10-24
49026,2012-07-17
10193,2010-06-16
58,2006-07-06
1865,2011-05-15
12155,2010-03-03
49051,2012-12-12
155,2008-07-16
671,2001-11-16
285,2007-05-19
12444,2010-11-17
12,2003-05-30
675,2007-07-08
809,2004-05-19
767,2009-07-15
121,2002-12-18
674,2005-11-16
559,2007-05-01
8355,2009-06-26
57800,2012-06-27
672,2002-11-13
120,2001-12-18
1895,2005-05-17
27205,2010-07-15
8373,2009-06-19
50620,2012-11-13
557,2002-05-01
810,2007-05-17
14161,2009-10-10
673,2004-05-31
558,2004-06-25
217,2008-05-21
591,2006-05-17
1930,2012-06-23
10192,2010-05-20
80321,2012-06-06
411,2005-12-07
604,2003-05-15
14160,2009-05-28
50619,2011-11-16
18239,2009-11-18
1858,2007-06-27
24021,2010-06-23
56292,2011-12-07
70160,2012-03-12
49444,2011-05-25
950,2006-03-29
22,2003-07-09
41154,2012-05-23
1894,2002-05-15
9502,2008-06-04
9806,2004-11-05
8960,2008-07-01
51497,2011-04-20
10138,2010-04-28
2062,2007-06-28
615,2004-02-25
11631,2008-07-03
87827,2012-11-20
10527,2008-10-30
74,2005-06-28
36557,2006-11-14
38757,2010-11-24
10764,2008-10-29
45243,2011-05-25
6479,2007-12-12
1726,2008-04-30
585,2001-11-01
1593,2006-12-20
41513,2011-07-29
254,2005-12-12
49013,2011-06-11
417859,2011-10-27
435,2004-05-26
72105,2012-06-29
955,2000-05-24
20352,2010-07-08
953,2005-05-25
62177,2012-06-21
35,2007-07-25
10528,2009-12-23
10681,2008-06-22
693,2004-12-22
652,2004-05-13
10191,2010-03-18
18823,2010-03-26
808,2001-05-18
787,2005-06-07
13448,2009-04-20
310,2003-05-23
46195,2011-04-03
61791,2011-08-03
118,2005-07-13
82690,2012-11-01
18785,2009-06-02
98,2000-05-04
920,2006-06-08
36668,2006-05-24
6637,2007-12-19
616,2003-12-05
1271,2007-03-07
161,2001-12-07
10195,2011-04-21
676,2001-05-21
608,2002-07-03
1734,2001-05-04
23398,2009-12-21
2503,2007-08-03
82695,2012-12-18
296,2003-07-02
36669,2002-11-17
8358,2000-12-22
68718,2012-12-25
605,2003-11-05
2454,2008-05-15
4564,2008-05-12
10140,2010-12-02
45269,2010-11-26
18360,2009-05-20
20526,2010-12-14
2675,2002-08-02
36658,2003-04-27
1735,2008-07-01
70981,2012-05-30
956,2006-04-25
58595,2012-05-30
8966,2008-11-20
1452,2006-06-28
13475,2009-05-06
9836,2006-11-16
1571,2007-06-20
425,2002-03-14
15512,2009-03-19
12405,2008-11-12
82675,2012-09-27
272,2005-06-10
3981,2000-12-15
17578,2011-10-24
2080,2009-04-28
2268,2007-12-04
8488,2005-02-11
534,2009-05-20
1771,2011-07-22
331,2001-07-18
8346,2002-04-19
10555,2004-09-20
13804,2009-04-02
163,2004-12-09
869,2001-07-25
6477,2007-12-13
38575,2010-06-10
76492,2012-09-20
180,2002-06-20
72545,2012-01-19
10567,2000-05-19
49538,2011-06-01
640,2002-12-16
9740,2001-02-08
73723,2012-03-01
2059,2004-11-19
5175,2001-08-03
2048,2004-07-15
8871,2000-11-17
7518,2006-05-17
55301,2011-12-14
8909,2008-06-19
4523,2007-11-20
9543,2010-05-19
4922,2008-12-25
58574,2011-11-22
9738,2005-06-29
1597,2000-10-06
44214,2010-12-03
